N,delta_mu,delta_s,mu_fused,gamma_fused,kl_fused,kl_individual,right_side,ratio,inequality_holds
2,0.1,-1.0,0.2,0.1353352832366127,0.898122038844752,0.2455592493917424,0.4911184987834848,1.828727773580973,False
2,0.1,-0.9473684210526316,0.2,0.15035789770837657,0.8183677976651735,0.22163508415046662,0.44327016830093324,1.846205443515407,False
2,0.1,-0.8947368421052632,0.2,0.1670480665692844,0.7410799602640898,0.1988250178278818,0.3976500356557636,1.8636486704747224,False
2,0.1,-0.8421052631578947,0.2,0.18559089326094946,0.6664584492007404,0.1771548526732175,0.354309705346435,1.8810053440367778,False
2,0.1,-0.7894736842105263,0.2,0.20619202825140892,0.5947117931535079,0.15664965693366795,0.3132993138673359,1.8982224563866548,False
2,0.1,-0.736842105263158,0.2,0.2290799498154876,0.5260560009608806,0.13733366062220953,0.27466732124441906,1.915247866318824,False
2,0.1,-0.6842105263157895,0.2,0.25450849798848973,0.4607131151798768,0.11923015114268498,0.23846030228536996,1.9320327566662758,False
2,0.1,-0.631578947368421,0.2,0.28275968979620325,0.39890942712585714,0.10236136961299469,0.20472273922598938,1.9485350217276496,False
2,0.1,-0.5789473684210527,0.2,0.3141468469837144,0.34087334571223443,0.08674840876832612,0.17349681753665225,1.9647239099369813,False
2,0.1,-0.5263157894736843,0.2,0.3490180709313199,0.28683292578421593,0.07241111335649786,0.14482222671299572,1.9805863526228795,False
2,0.1,-0.4736842105263158,0.2,0.38776010329632493,0.2370130778540479,0.059367983955279424,0.11873596791055885,1.9961354762575783,False
2,0.1,-0.42105263157894735,0.2,0.43080261519743523,0.19163249967841467,0.04763608514582707,0.09527217029165413,2.0114215839922114,False
2,0.1,-0.368421052631579,0.2,0.47862297251123204,0.15090039007126566,0.037230958966210315,0.07446191793242063,2.0265444976614524,False
2,0.1,-0.3157894736842106,0.2,0.5317515301305706,0.11501302542768432,0.02816654454377665,0.0563330890875533,2.041660191027874,False
2,0.1,-0.26315789473684215,0.2,0.5907775139012316,0.08415029801735319,0.020455104764558696,0.04091020952911739,2.0569510395066577,False
2,0.1,-0.21052631578947367,0.2,0.6563555554708402,0.058472330340026746,0.014107160782184769,0.028214321564369538,2.072434391400307,False
2,0.1,-0.1578947368421053,0.2,0.729212952525235,0.038116289836749306,0.009131435098256313,0.018262870196512626,2.087091975500531,False
2,0.1,-0.10526315789473695,0.2,0.8101577349324266,0.02319353134267743,0.005534803861940052,0.011069607723880104,2.095244196652315,False
2,0.1,-0.052631578947368474,0.2,0.9000876262522591,0.013787189642874065,0.003322258939709277,0.006644517879418554,2.0749721639819785,False
2,0.1,0.0,0.2,1.0,0.009950330853168099,0.0024968801985871814,0.004993760397174363,1.992552718147697,False
2,0.1473684210526316,-1.0,0.2947368421052632,0.1353352832366127,0.932781730078712,0.2517689906260005,0.503537981252001,1.8524555541161678,False
2,0.1473684210526316,-0.9473684210526316,0.2947368421052632,0.15035789770837657,0.8521691255832635,0.2276696233837655,0.455339246767531,1.8715037889504176,False
2,0.1473684210526316,-0.8947368421052632,0.2947368421052632,0.1670480665692844,0.7739639526364515,0.20468277309223853,0.40936554618447707,1.8906426294304486,False
2,0.1473684210526316,-0.8421052631578947,0.2947368421052632,0.18559089326094946,0.6983657648278632,0.18283452862851346,0.3656690572570269,1.909830079871881,False
2,0.1473684210526316,-0.7894736842105263,0.2947368421052632,0.20619202825140892,0.6255834755742306,0.1621502582610248,0.3243005165220496,1.9290239876373936,False
2,0.1473684210526316,-0.736842105263158,0.2947368421052632,0.2290799498154876,0.5558343445419012,0.14265450386972234,0.2853090077394447,1.9481836516339883,False
2,0.1473684210526316,-0.6842105263157895,0.2947368421052632,0.25450849798848973,0.4893426347845891,0.1243708748301886,0.2487417496603772,1.967271820885394,False
2,0.1473684210526316,-0.631578947368421,0.2947368421052632,0.28275968979620325,0.42633791538195837,0.1073219424164572,0.2146438848329144,1.9862569842780906,False
2,0.1473684210526316,-0.5789473684210527,0.2947368421052632,0.3141468469837144,0.3670529939380361,0.0915291356226019,0.1830582712452038,2.0051155921076855,False
2,0.1473684210526316,-0.5263157894736843,0.2947368421052632,0.3490180709313199,0.3117214763656251,0.07701263933740388,0.15402527867480775,2.0238332243096275,False
2,0.1473684210526316,-0.4736842105263158,0.2947368421052632,0.38776010329632493,0.26057496794618273,0.06379129582802001,0.12758259165604002,2.0424022161948816,False
2,0.1473684210526316,-0.42105263157894735,0.2947368421052632,0.43080261519743523,0.21383994935598039,0.05188251049627879,0.10376502099255758,2.0608095802468713,False
2,0.1473684210526316,-0.368421052631579,0.2947368421052632,0.47862297251123204,0.1717343833858167,0.04130216286397559,0.08260432572795118,2.078999881330745,False
2,0.1473684210526316,-0.3157894736842106,0.2947368421052632,0.5317515301305706,0.13446413115992728,0.0320645237205639,0.0641290474411278,2.096774184637141,False
2,0.1473684210526316,-0.26315789473684215,0.2947368421052632,0.5907775139012316,0.10221927901424799,0.024182179327614906,0.04836435865522981,2.1135249563201777,False
2,0.1473684210526316,-0.21052631578947367,0.2947368421052632,0.6563555554708402,0.07517049668903764,0.017665963519352568,0.035331927038705135,2.127551565661575,False
2,0.1473684210526316,-0.1578947368421053,0.2947368421052632,0.729212952525235,0.05346556181699036,0.012524898467890289,0.025049796935780577,2.13437106712116,False
2,0.1473684210526316,-0.10526315789473695,0.2947368421052632,0.8101577349324266,0.03722619264531435,0.00876614479645399,0.01753228959290798,2.1232932782705567,False
