N,delta_mu,delta_s,pattern,kl_fused,right_side,ratio,inequality_holds
10,0.5,-0.5,opposite_direction,0.0,1.6781997530744075,0.0,True
10,0.5,0.5,same_direction,3.6282555656243414,9.687363772608638,0.3745348735518079,True
10,0.5,0.5,opposite_direction,0.0,1.111497048212562,0.0,True
10,0.5,1.0,same_direction,8.613796488202702,25.814984432358834,0.3336742855984601,True
10,0.5,1.0,opposite_direction,0.0,2.9364666743380985,0.0,True
10,0.5,2.0,same_direction,18.613705643002415,87.11077004844299,0.21367857995803718,True
10,0.5,2.0,opposite_direction,-2.220446049250313e-16,9.905532315683619,-2.2416221344658463e-17,True
10,1.0,-2.0,same_direction,23.228826155762185,144.1814653341318,0.16110826798667077,True
10,1.0,-2.0,opposite_direction,0.0,15.74641466448595,0.0,True
10,1.0,-1.0,same_direction,13.228827054749882,66.83988383594294,0.19791816346090238,True
10,1.0,-1.0,opposite_direction,0.0,7.209083745768892,0.0,True
10,1.0,-0.5,same_direction,8.228960020958326,38.93311870610836,0.2113614396800751,True
10,1.0,-0.5,opposite_direction,0.0,4.224929002188047,0.0,True
10,1.0,0.5,same_direction,3.6316057584420562,19.51107976338491,0.18613043473161536,True
10,1.0,0.5,opposite_direction,0.0,2.3134863545345397,0.0,True
10,1.0,1.0,same_direction,8.61379664277517,31.006238766910776,0.2778084987195428,True
10,1.0,1.0,opposite_direction,0.0,3.6871938870786103,0.0,True
10,1.0,2.0,same_direction,18.613705643002415,88.16709911973658,0.21111849917761055,True
10,1.0,2.0,opposite_direction,-2.220446049250313e-16,10.267546366506062,-2.162586824534504e-17,True
10,2.0,-2.0,same_direction,24.60766706619696,227.9332222785463,0.1079599841576631,True
10,2.0,-2.0,opposite_direction,0.0,24.776705644148787,0.0,True
10,2.0,-1.0,same_direction,14.607667292625358,138.37466549375182,0.10556605315360242,True
10,2.0,-1.0,opposite_direction,0.0,15.100886544933896,0.0,True
10,2.0,-0.5,same_direction,9.607700784555684,99.78833467327702,0.09628080091739014,True
10,2.0,-0.5,opposite_direction,0.0,11.092443748040504,0.0,True
10,2.0,0.5,same_direction,3.6448954072981223,51.302937910194146,0.07104652395694212,True
10,2.0,0.5,opposite_direction,0.0,6.365822806869259,0.0,True
10,2.0,1.0,same_direction,8.613797261064796,49.43423734876152,0.17424760091460373,True
10,2.0,1.0,opposite_direction,0.0,6.450486547528172,0.0,True
10,2.0,2.0,same_direction,18.613705643002422,92.28424737750778,0.2016997068509343,True
10,2.0,2.0,opposite_direction,-2.220446049250313e-16,11.697544114511086,-1.8982155805642965e-17,True
