d,N,trial,kl_fused,right_side,ratio,inequality_holds
1,2,0,0.004360468354619451,2.7183991828841627,0.001604057410726959,True
1,2,1,1.003734354140779,1.9943727491330367,0.5032832275596962,True
1,2,2,1.6232499274084367,4.448914515015463,0.3648642656382429,True
1,2,3,1.161702981738827,9.119803922871661,0.12738245159255876,True
1,2,4,3.9915825379190153,8.540271506734586,0.46738356441845913,True
1,2,5,2.0527388117949923,4.6879139302190875,0.4378789462329268,True
1,2,6,3.182494972952421,7.894996760849584,0.4031027585386813,True
1,2,7,0.5011500150417176,1.5202435520146846,0.3296511367389617,True
1,2,8,0.3156036641658442,2.504722188717765,0.1260034608179082,True
1,2,9,1.216268487135277,3.3776791510823108,0.3600900004802255,True
1,2,10,1.8971475719084996,3.0228971489282497,0.6275924976743328,True
1,2,11,0.7911538156448681,4.42155461772122,0.1789311416563735,True
1,2,12,0.06513247180557769,5.365772595295822,0.01213850767039203,True
1,2,13,0.6071109648156545,2.288917747290535,0.2652393103833946,True
1,2,14,1.5026934206237699,2.5544969181263157,0.5882541528865779,True
1,2,15,3.3747634064347194,6.221334714201888,0.5424500628025855,True
1,2,16,0.11232964321506422,0.7230866709183199,0.15534741232666563,True
1,2,17,1.0515317802594975,1.8323690938052235,0.5738646126560748,True
1,2,18,0.050057015785083925,6.6315690229658735,0.007548291454364845,True
1,2,19,0.23239408147969054,2.0537578835277417,0.11315553958118327,True
1,2,20,2.033187711775753,4.558999699252289,0.4459723285590941,True
1,2,21,0.5403253513678941,3.2133126488302204,0.16815212536651078,True
1,2,22,2.4414095366251765,5.399752930611267,0.45213356388674664,True
1,2,23,1.4502018711507587,4.135143761458129,0.3507016816845542,True
1,2,24,2.418493556852099,5.189651063196074,0.46602238327804973,True
1,2,25,0.9003043259552836,3.3277105378390077,0.2705476680492574,True
1,2,26,1.3978198610505204,2.2457559780614713,0.6224273138781149,True
1,2,27,0.9107682185872643,1.8900233925389438,0.48188198208689526,True
1,2,28,0.02868845438247769,4.444727271293766,0.006454491497771265,True
1,2,29,0.05867831571303128,4.474002191378348,0.0131153971775221,True
1,2,30,0.054892152240545,3.362487846425398,0.016324862645644915,True
1,2,31,0.8036965662496911,1.3811826330163974,0.5818901476443264,True
1,2,32,3.45886241657497,6.052489630755737,0.5714776278176098,True
1,2,33,0.05696846868849614,3.3496587266456244,0.017007245614404674,True
1,2,34,0.16646119050076802,7.842543027974566,0.02122540990938735,True
1,2,35,0.05514030610621412,1.3787277017047708,0.03999361588081111,True
1,2,36,1.5185392591726798,3.1991403896775865,0.4746710285276728,True
1,2,37,2.727596951394471,6.439026145532649,0.4236039565217263,True
1,2,38,0.686574124915257,1.2049248745429542,0.5698065824856382,True
1,2,39,2.0074332428350052,3.4232489238302017,0.5864117063940912,True
1,2,40,0.13263515090049616,6.582398927608427,0.020149971516339907,True
1,2,41,0.29767036785937573,1.073030475804333,0.2774109166249402,True
1,2,42,0.3105104652768591,2.501973439834685,0.12410621964770965,True
1,2,43,0.9461751266513132,2.520889835240107,0.37533378627836506,True
1,2,44,0.6849307171159498,3.1787606299422078,0.21547099541383283,True
1,2,45,0.7090307108085057,1.8199784584920136,0.3895819247201365,True
1,2,46,0.7851973344405234,3.0926603017181367,0.25389058539804865,True
1,2,47,0.6300774150640942,2.0323565869775813,0.3100230634236848,True
1,2,48,3.432067297728593,7.184566930977168,0.4776999547364228,True
1,2,49,1.2589394231066593,3.0148593379308184,0.417578162691565,True
1,3,0,3.065016376591915,9.372405790478705,0.3270255732744331,True
1,3,1,1.0950157830094351,11.368006008179512,0.0963243494260602,True
1,3,2,0.5969077916918395,4.634921238639166,0.12878488348749037,True
1,3,3,3.430466815099672,14.881683490402706,0.23051604459347644,True
1,3,4,3.4176771174616603,11.194827404521796,0.3052907377635137,True
1,3,5,2.3647209068063395,7.967781409933839,0.29678536409873413,True
1,3,6,2.5853642938721695,5.961626091993305,0.4336676359734157,True
1,3,7,0.9859251520985257,12.761812427152451,0.07725588804305249,True
1,3,8,2.6905488839692513,10.494217264741202,0.2563839509030408,True
1,3,9,1.121430461575919,9.40033592591198,0.11929684964605375,True
1,3,10,0.8993778791635846,8.632605349452426,0.10418382895502491,True
1,3,11,2.5277035989278183,11.65024491210633,0.2169657048412055,True
1,3,12,0.8685505976690329,4.628291544143238,0.1876611681405679,True
1,3,13,1.5656621865821916,12.08971961066544,0.12950359785027427,True
1,3,14,1.529150779051721,5.111931188196755,0.2991336782041333,True
1,3,15,4.44169950765112,11.305288122495451,0.39288689147275707,True
1,3,16,1.6594662709845678,8.668914624248124,0.19142722508107493,True
1,3,17,2.2166188281561037,10.413381959268603,0.2128625298511369,True
1,3,18,1.7064140429069612,9.732426463816394,0.1753328472864538,True
1,3,19,1.4882732625614103,11.01547681477702,0.13510747538090448,True
1,3,20,0.5203497788630163,0.6948402113602237,0.748876893357073,True
1,3,21,0.0010821635499145277,4.1650353253125765,0.00025982097758878284,True
1,3,22,1.0483791559293678,3.329102905083049,0.31491341235761966,True
1,3,23,0.16596426091107386,6.651487023368659,0.024951452258418588,True
1,3,24,2.011333712821309,7.083923554505991,0.28392933624219113,True
1,3,25,3.0351614629211903,18.812488554060543,0.16133758456246725,True
1,3,26,1.883717304144997,6.305074007130938,0.29876212428506677,True
1,3,27,0.7338307054006481,10.064996266538625,0.07290918803818038,True
1,3,28,0.9348464539598731,2.9167912697734284,0.32050509189589366,True
1,3,29,2.5018060370443913,13.940346593442191,0.17946512450567687,True
1,3,30,0.9998752188541031,7.466654947705862,0.13391206984344653,True
