d,N,min_ratio,max_ratio,mean_ratio,median_ratio,p95_ratio,p99_ratio,num_trials
1,2,0.0013704085100970547,1.4729072296320824,0.6341442674040901,0.6227164828270078,1.3022662927987183,1.4678607749408736,50
1,3,0.03525113700244984,1.5825845549940598,0.5998703938667286,0.6065911529380479,1.0782094135112175,1.3745436091383934,50
1,5,9.882101978467743e-05,1.123967205843568,0.37522695246536364,0.3735641285132807,0.8629408533333539,1.0275599638988644,50
1,10,0.027712650468359853,0.7554008010408705,0.29215934244547465,0.23747272159899716,0.6728930590031095,0.7392333141659728,50
2,2,0.07151417404984226,1.3550103786656351,0.6280319242406609,0.6673066708058939,1.1601356280217905,1.2908619147107867,50
2,3,0.15089271832701012,1.2115267337278808,0.570614759477193,0.5162541117224198,1.0971798011172533,1.1822196448626676,50
2,5,0.09557589684556447,0.8410383016992238,0.4301667925281889,0.4272133407459059,0.7315328529594567,0.8159634076647868,50
2,10,0.08727601927195293,0.5299096858467719,0.24648660042164047,0.23784680258090618,0.4139021642719024,0.49165499708484384,50
5,2,0.23017116145767952,1.0308131331230719,0.7076087152334588,0.7201844716239878,0.9634832298666579,1.022381086834242,50
5,3,0.19460517601398103,0.8993712449999104,0.5288946147669222,0.5035800686010283,0.7922724327536362,0.8704672578435592,50
5,5,0.10523636336334921,0.6211314956872659,0.40723562002803343,0.39437667803447385,0.5857312583266986,0.6189727565463011,50
5,10,0.14582609308900096,0.43702007844378454,0.27911208259406345,0.26887349179249453,0.4084910347724403,0.4354941063905043,50
10,2,0.26759823973116575,0.9306277797000843,0.6837807681399982,0.686617061459106,0.9074813787133983,0.9268547478198107,50
10,3,0.2881826030728997,0.8129109782864957,0.556157286184554,0.5576512203392459,0.7175669783390979,0.8077000855506005,50
10,5,0.23991710865172056,0.6071773899640396,0.38905150773502895,0.37883085182345094,0.513671731961626,0.5767644988200029,50
10,10,0.16862996521588786,0.39025851591539984,0.2740936570294073,0.2773070204895969,0.3611991628944501,0.3890085641001637,50
