N,delta_mu,delta_s,D_indiv,D_fused,ratio
2,0.05,-3.0,1.713146266548224,4.628558436511516,1.3508941200442515
2,0.05,-2.9389795918367345,1.658071652912263,4.5071530899530865,1.3591551010587064
2,0.05,-2.8779591836734695,1.6033518760024592,4.385829987081125,1.3677066315648847
2,0.05,-2.816938775510204,1.5490068966158037,4.2645997368952,1.3765593123608082
2,0.05,-2.755918367346939,1.4950576502280657,4.143474307226493,1.38572392395518
2,0.05,-2.6948979591836735,1.4415260765876137,4.022467196119863,1.3952113879347448
2,0.05,-2.633877551020408,1.3884351479071584,3.901593624099078,1.405032719742114
2,0.05,-2.572857142857143,1.3358088952873048,3.780870749657236,1.4151989715729694
2,0.05,-2.5118367346938775,1.2836724329697558,3.6603179105201686,1.4257211639468184
2,0.05,-2.450816326530612,1.2320519799812095,3.53995689343717,1.4366102043402258
2,0.05,-2.389795918367347,1.1809748786919085,3.4198122354548057,1.447876791097672
2,0.05,-2.3287755102040815,1.1304696097760496,3.299911559816952,1.4595313006559625
2,0.05,-2.2677551020408164,1.0805658030255554,3.1802859497961435,1.4715836559381335
2,0.05,-2.206734693877551,1.0312942434348447,3.060970363882457,1.4840431735988078
2,0.05,-2.145714285714286,0.9826868719432567,2.9420040958169427,1.49691838764425
2,0.05,-2.0846938775510204,0.9347767801947049,2.82343128293166,1.5102168468196049
2,0.05,-2.023673469387755,0.8875981986522532,2.7053014661161705,1.5239448830698137
2,0.05,-1.9626530612244897,0.841186477389948,2.587670204431214,1.538107348361266
2,0.05,-1.9016326530612244,0.7955780588768953,2.4705997468860477,1.5527073172265167
2,0.05,-1.8406122448979592,0.7508104420707737,2.3541597631280804,1.5677457525998086
2,0.05,-1.779591836734694,0.7069221371513855,2.23842813369265,1.583221132890691
2,0.05,-1.7185714285714284,0.6639526102511005,2.1234917989464823,1.599129038850678
2,0.05,-1.6575510204081632,0.6219422175797832,2.0094476638388716,1.6154616996884428
2,0.05,-1.596530612244898,0.5809321283985193,1.8964035529490475,1.632207499159106
2,0.05,-1.5355102040816326,0.5409642363706908,1.784479206979967,1.6493504440810844
2,0.05,-1.4744897959183674,0.5020810589116963,1.6738073076916276,1.6668696000201126
2,0.05,-1.413469387755102,0.46432562427091395,1.5645345131950879,1.68473850183449
2,0.05,-1.3524489795918366,0.42774134621169324,1.4568224794702709,1.7029245505171198
2,0.05,-1.2914285714285714,0.3923718863072708,1.3508488368995695,1.7213884124227297
2,0.05,-1.230408163265306,0.35826100404190286,1.2468080825694594,1.7400834426618623
2,0.05,-1.1693877551020406,0.3254523950958639,1.1449123402318309,1.7589551613141305
2,0.05,-1.1083673469387754,0.2939895183982786,1.0453919304268127,1.7779408193229889
2,0.05,-1.04734693877551,0.26391541275015123,0.948495683825957,1.7969691007093587
2,0.05,-0.9863265306122448,0.23527250404778877,0.8544909220621347,1.8159600194686791
2,0.05,-0.9253061224489794,0.20810240436955418,0.7636630231322532,1.8348250839430924
2,0.05,-0.8642857142857143,0.18244570442132202,0.6763144841229924,1.8534678201060268
2,0.05,-0.8032653061224488,0.1583417610621144,0.5927633939956056,1.8717847711794617
2,0.05,-0.7422448979591834,0.13582848184473584,0.5133412351187132,1.889667130732965
2,0.05,-0.6812244897959183,0.11494210869987276,0.43838994582337054,1.9070032331147577
2,0.05,-0.6202040816326528,0.0957170030590836,0.36825819892972733,1.9236822464155674
2,0.05,-0.5591836734693878,0.07818543484549167,0.30329688390063125,1.939599648579047
2,0.05,-0.4981632653061223,0.06237737785431119,0.2438538230756998,1.9546655491454419
2,0.05,-0.43714285714285683,0.048320314092845096,0.19026780414027822,1.968817956922714
2,0.05,-0.3761224489795918,0.036039049646576116,0.14286206884978692,1.982045451403288
2,0.05,-0.3151020408163263,0.025555544581033374,0.10193745765428397,1.9944293758063596
2,0.05,-0.2540816326530613,0.016888759276449283,0.06776546533258587,2.006229830840273
2,0.05,-0.1930612244897958,0.010054519423746466,0.040581507135773576,2.0180729394151538
2,0.05,-0.1320408163265303,0.005065401688027604,0.020578721225270824,2.031302006503248
2,0.05,-0.07102040816326527,0.001930641773181252,0.007902635376969336,2.0466343074996294
2,0.05,-0.01,0.0006560663041919046,0.0026470002850602636,2.0173268068695043
2,0.1510204081632653,-3.0,1.7313642691044075,4.705548271223601,1.358913417353145
2,0.1510204081632653,-2.9389795918367345,1.676182628446877,4.5840958497392315,1.3674213572976766
2,0.1510204081632653,-2.8779591836734695,1.6213501172227953,4.462719612714373,1.3762356339044615
2,0.1510204081632653,-2.816938775510204,1.5668864561098717,4.34142939670086,1.3853682185368366
2,0.1510204081632653,-2.755918367346939,1.512812338198038,4.220236300661396,1.3948313991437504
2,0.1510204081632653,-2.6948979591836735,1.459149459652982,4.0991528458817275,1.404637756181809
2,0.1510204081632653,-2.633877551020408,1.4059205491276432,3.978193155558826,1.4148001314964942
2,0.1510204081632653,-2.572857142857143,1.3531493955646683,3.8573731563250937,1.4253315890206693
2,0.1510204081632653,-2.5118367346938775,1.3008608739959429,3.73671080418293,1.436245366003138
2,0.1510204081632653,-2.450816326530612,1.249080968907379,3.6162263375450405,1.4475548133233902
2,0.1510204081632653,-2.389795918367347,1.1978367946985025,3.495942560299362,1.4592733232824495
2,0.1510204081632653,-2.3287755102040815,1.14715661272771,3.375885158036915,1.4714142430865356
2,0.1510204081632653,-2.2677551020408164,1.097069844395935,3.2560830507874887,1.4839907720644452
2,0.1510204081632653,-2.206734693877551,1.0476070796847017,3.1365687857898266,1.4970158404875613
