N,delta_s,pattern,kl_fused,right_side,ratio,inequality_holds
2,-2.0,same_direction,2.6500054947157285,3.4702466438642183,0.763636065869045,True
2,-2.0,opposite_direction,0.0,3.4702466438642183,0.0,True
2,-1.0,same_direction,0.8675616609660546,0.96091605566622,0.9028485431691105,True
2,-1.0,opposite_direction,0.0,0.9609160556662205,0.0,True
2,-0.5,same_direction,0.240229013916555,0.2474384289612912,0.9708638020577474,True
2,-0.5,opposite_direction,0.0,0.2474384289612912,0.0,True
2,0.5,same_direction,0.24022901391655527,0.2474384289612912,0.9708638020577485,True
2,0.5,opposite_direction,0.0,0.2474384289612912,0.0,True
2,1.0,same_direction,0.8675616609660541,0.9609160556662211,0.902848543169109,True
2,1.0,opposite_direction,0.0,0.9609160556662205,0.0,True
2,2.0,same_direction,2.650005494715728,3.4702466438642183,0.7636360658690449,True
2,2.0,opposite_direction,0.0,3.4702466438642183,0.0,True
3,-2.0,same_direction,4.61865700915557,7.808054948694491,0.5915246549241833,True
3,-2.0,opposite_direction,0.0,4.044059066397495,0.0,True
3,-1.0,same_direction,1.7108803420275935,2.1620611252489947,0.7913191361925807,True
3,-1.0,opposite_direction,0.0,1.0918446851916017,0.0,True
3,-0.5,same_direction,0.5165321948456143,0.5567364651629052,0.9277858145944745,True
3,-0.5,opposite_direction,0.0,0.2790856935477477,0.0,True
3,0.5,same_direction,0.5165321948456141,0.5567364651629052,0.9277858145944742,True
3,0.5,opposite_direction,-2.220446049250313e-16,0.27908569354774904,-7.956144297559326e-16,True
3,1.0,same_direction,1.7108803420275933,2.1620611252489974,0.7913191361925797,True
3,1.0,opposite_direction,0.0,1.0918446851916026,0.0,True
3,2.0,same_direction,4.618657009155571,7.808054948694491,0.5915246549241834,True
3,2.0,opposite_direction,-2.220446049250313e-16,4.0440590663974945,-5.490637037673928e-17,True
5,-2.0,same_direction,8.613796436678543,21.689041524151364,0.3971497047062608,True
5,-2.0,opposite_direction,0.0,5.575000449636729,0.0,True
5,-1.0,same_direction,3.6271363358583453,6.0057253479138755,0.6039464220784343,True
5,-1.0,opposite_direction,-2.220446049250313e-16,1.512834642338706,-1.4677387647718746e-16,True
5,-0.5,same_direction,1.2714851074652085,1.54649018100807,0.8221747044241813,True
5,-0.5,opposite_direction,0.0,0.38737222649056213,0.0,True
5,0.5,same_direction,1.2714851074652085,1.54649018100807,0.8221747044241813,True
5,0.5,opposite_direction,0.0,0.38737222649056213,0.0,True
5,1.0,same_direction,3.6271363358583457,6.005725347913882,0.6039464220784337,True
5,1.0,opposite_direction,-2.220446049250313e-16,1.5128346423387118,-1.467738764771869e-16,True
5,2.0,same_direction,8.613796436678545,21.689041524151364,0.3971497047062609,True
5,2.0,opposite_direction,0.0,5.575000449636729,0.0,True
10,-2.0,same_direction,18.613705643002415,86.75616609660545,0.2145519619006161,True
10,-2.0,opposite_direction,0.0,9.784448982527064,0.0,True
10,-1.0,same_direction,8.613796436678543,24.022901391655502,0.35856603231408996,True
10,-1.0,opposite_direction,0.0,2.6799251446346335,0.0,True
10,-0.5,same_direction,3.6271363358583453,6.18596072403228,0.5863497195782419,True
10,-0.5,opposite_direction,0.0,0.6880315880721088,0.0,True
10,0.5,same_direction,3.6271363358583457,6.18596072403228,0.5863497195782419,True
10,0.5,opposite_direction,0.0,0.6880315880721088,0.0,True
10,1.0,same_direction,8.613796436678541,24.022901391655527,0.3585660323140895,True
10,1.0,opposite_direction,0.0,2.679925144634636,0.0,True
10,2.0,same_direction,18.613705643002415,86.75616609660545,0.2145519619006161,True
10,2.0,opposite_direction,-2.220446049250313e-16,9.784448982527083,-2.2693623863904356e-17,True
