d,N,min_ratio,max_ratio,mean_ratio,median_ratio,p95_ratio,p99_ratio,num_trials
1,2,0.04673709808452184,1.236555800537511,0.6511575391047948,0.717541780491791,1.1705879584002377,1.22003196080103,50
1,3,0.023795538279749163,1.903622657878746,0.6057618327738055,0.519934886333132,1.2227543072767282,1.5726551071677368,50
1,5,0.05437744938517438,1.1043284416208978,0.43222139853030933,0.40880359574726455,0.9289283359376737,1.0569350456582245,50
1,10,0.005748309972784551,0.8715703615154039,0.2562220741737422,0.23856109203736434,0.49256019288280783,0.7804289382869336,50
2,2,0.16880731137412358,1.299216621499904,0.7450251211124861,0.7783071611694854,1.1285073929221805,1.2861861699431092,50
2,3,0.030849460193842135,1.051573530288707,0.47632104009770726,0.43295687782207776,0.9318876787131628,1.015590253013206,50
2,5,0.10045987486818143,1.0480311967867137,0.4397795344775086,0.45934343070363304,0.7334312298183725,0.9101699808374852,50
2,10,0.06065670046291551,0.5623803632252283,0.29348896268569685,0.2852559071492662,0.48435396805182274,0.5610746157758726,50
5,2,0.26199579725317035,1.0917865280083154,0.6891878905863656,0.7265142613199586,0.9802418964412822,1.0646653005659694,50
5,3,0.24323007176021927,0.957348989757812,0.5410896960441167,0.5133073028982652,0.8612798716000679,0.9291589877771548,50
5,5,0.2055057805190623,0.6970769005776014,0.40101048423613533,0.3833919366574676,0.6461788145568585,0.6937576478432285,50
5,10,0.11567632772127528,0.5464514859654223,0.276555159154717,0.2891861054797231,0.39162289343015944,0.47206265162863376,50
10,2,0.3703734542644266,1.1005422359885593,0.7093986076698053,0.6794386792897846,0.9855555167375193,1.0721283103846073,50
10,3,0.28281349416593243,0.8123560776334003,0.5739713830997261,0.5635675507938317,0.7438521417796916,0.8031833740351457,50
10,5,0.19956647842997877,0.7072885676901347,0.4061437954694428,0.4150547109241225,0.5570327291064402,0.6407652844404333,50
10,10,0.1659165089455722,0.4018189146384131,0.2627835128329429,0.2607039621367755,0.3596059766577819,0.3887700275097381,50
